"disaster subtype",region,"disaster group",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
"Ground movement",Micronesia,Natural,1,0,0,71,0,71,120000
"Ground movement","Middle Africa",Natural,4,50,20355,666,1750,22771,7200
"Ground movement","Northern Africa",Natural,32,20421,611953,56693,838409,1507055,11995929
"Ground movement","Northern America",Natural,39,2826,41714,13294,20239,75247,41740770
"Ground movement","Northern Europe",Natural,5,1,4629,8,69,4706,84000
"Ground movement",Polynesia,Natural,3,6,5000,25,500,5525,1200
"Ground movement","Russian Federation",Natural,24,153082,1540000,16576,753000,2309576,16869800
"Ground movement","South America",Natural,131,155703,14971622,283148,2423345,17678115,40287886
"Ground movement","South-Eastern Asia",Natural,143,40728,13159998,184842,1030702,14375542,7839274
"Ground movement","Southern Africa",Natural,9,71,3285,165,0,3450,20000
"Ground movement","Southern Asia",Natural,210,382895,36213508,571553,7628035,44413096,25576343
"Ground movement","Southern Europe",Natural,91,118014,2387694,23835,402028,2813557,58629016
"Ground movement","Western Africa",Natural,2,292,20000,1436,0,21436,0
"Ground movement","Western Asia",Natural,94,91241,6794405,100423,1253890,8148718,27088073
"Ground movement","Western Europe",Natural,8,49,2650,110,200,2960,362000
"Heat wave","Australia and New Zealand",Natural,7,509,4600000,2784,0,4602784,200000
"Heat wave","Central America",Natural,3,470,0,0,0,0,0
"Heat wave","Eastern Asia",Natural,13,877,15180,108800,0,123980,0
"Heat wave","Eastern Europe",Natural,17,57098,0,1139,0,1139,550050
"Heat wave","Northern Africa",Natural,4,94,0,0,0,0,809
"Heat wave","Northern America",Natural,25,5301,0,31,0,31,9025000
"Heat wave","Northern Europe",Natural,3,1093,0,0,0,0,0
"Heat wave","South America",Natural,6,336,20190,0,0,20190,0
"Heat wave","Southern Asia",Natural,43,14902,80250,559,0,80809,418000
"Heat wave","Southern Europe",Natural,27,40327,352,629,0,981,5603000
"Heat wave","Western Africa",Natural,1,60,0,0,0,0,0
"Heat wave","Western Asia",Natural,7,75,0,812,0,812,1000
"Heat wave","Western Europe",Natural,13,35879,0,0,0,0,6610000
"Land fire (Brush, Bush, Pastur","Australia and New Zealand",Natural,29,477,66744,905,19208,86857,2599194
"Land fire (Brush, Bush, Pastur","Central America",Natural,2,60,0,0,0,0,0
"Land fire (Brush, Bush, Pastur","Eastern Africa",Natural,1,0,0,0,0,0,0
"Land fire (Brush, Bush, Pastur","Eastern Asia",Natural,31,22,0,6,9000,9006,0
"Land fire (Brush, Bush, Pastur","Eastern Europe",Natural,3,88,5000,2242,9252,16494,1940000
"Land fire (Brush, Bush, Pastur",Melanesia,Natural,1,0,8000,0,0,8000,0
"Land fire (Brush, Bush, Pastur","Middle Africa",Natural,2,8,0,0,2895,2895,0
"Land fire (Brush, Bush, Pastur","Northern Africa",Natural,1,47,0,0,0,0,0
"Land fire (Brush, Bush, Pastur","Northern America",Natural,15,20,686332,273,1908,688513,3214100
